P1,P2,P3,Total Power,Power Loss,Power Demand,Total Cost(Rs/h)
10,10,10.109,30.109,0.0807,30.028,52507.48
10,10,10.146,30.146,0.08,30.065,52612.82
10,10,10.2067,30.2067,0.0807,30.126,52787.31
10,10,10.2528,30.2588,0.0808,30.178,52936.88
10,10,10.2889,30.2889,0.0809,30.208,53023.52
10,10,10.37,30.37,0.081,30.289,53258.71
10,10,10.4231,30.423,0.081,30.342,53413.59
10,10,11.2383,31.2383,0.0823,31.156,55891.49
10,10,11.6089,31.6089,0.0829,31.526,57079.34
10,10,12.3491,32.3491,0.0841,32.265,59566.91
10,10.2808,13.2376,33.5183,0.0863,33.432,63782.42
10,10.4818,13.4965,33.9784,0.0874,33.891,65506.16
10,10.7916,13.8954,34.6869,0.0889,34.598,68226.48
10,10.9651,14.1188,35.0838,0.0898,34.994,69784.71
10,10.98,14.138,35.1179,0.0899,35.028,69919.66
10.1335,11.2298,14.46,35.8233,0.0913,35.732,72749.94
10.3481,11.4675,14.7661,36.5816,0.0926,36.489,75857.31
10.526,11.665,15.02,37.212,0.094,37.118,78488.69
10.709,11.868,15.28,37.8598,0.0948,37.765,81242.19
10.851,12.02,15.48,38.3596,0.0956,38.264,83398.26
11.061,12.257,15.78,39.1009,0.0969,39.004,86647.63
11.245,12.461,16.046,39.7521,0.0981,39.654,89553.03
11.455,12.693,16.345,40.4934,0.0994,40.394,92919.04
11.75,13.021,16.767,41.539,0.101,41.438,97773.46
11.956,13.249,17.061,42.267,0.102,42.165,101226.89
12.131,13.443,17.311,42.885,0.103,42.782,104204.82
12.268,13.595,17.506,43.368,0.104,43.264,106561.21
12.439,13.784,17.749,43.972,0.105,43.867,109546.25
12.661,14.03,18.066,44.757,0.106,44.651,113488.95
12.862,14.253,18.353,45.467,0.108,45.359,117109.35
13.095,14.511,18.685,46.291,0.109,46.182,121389.26
13.265,14.699,18.927,46.891,0.11,46.781,124552.58
13.3557,14.799,19.058,47.213,0.111,47.102,126264.53
