P1,P2,P3,P4,P5,P6,Total Power,Power Loss,Power Demand,Total Cost(Rs/h)
102.643,50,80,50,50,50,382.643,1.387,381.256,5059.85
103.254,50,80,50,50,50,383.253,1.389,381.864,5065.01
103.845,50,80,50,50,50,383.845,1.393,382.452,5070
104.339,50,80,50,50,50,384.339,1.395,382.944,5074.18
104.438,50,80,50,50,50,384.438,1.395,383.043,5075.02
105.171,50,80,50,50,50,385.17,1.398,383.772,5081.22
105.566,50,80,50,50,50,385.566,1.401,384.165,5084.57
106.061,50,80,50,50,50,386.061,1.403,384.658,5088.77
106.51,50,80,50,50,50,386.51,1.405,385.105,5092.58
107.157,50,80,50,50,50,387.157,1.408,385.749,5098.08
107.493,50,80,50,50,50,387.492,1.409,386.083,5100.93
107.96,50,80,50,50,50,387.96,1.412,386.548,5104.91
108.479,50,80,50,50,50,388.479,1.415,387.064,5109.32
109.233,50,80,50,50,50,389.233,1.418,387.815,5115.76
109.78,50,80,50,50,50,389.78,1.421,388.359,5120.42
110.418,50,80,50,50,50,390.418,1.424,388.994,5125.87
111.955,50,80,50,50,50,391.955,1.432,390.523,5139.02
113.596,50,80,50,50,50,393.595,1.439,392.156,5153.1
115.907,50,80,50,50,50,395.907,1.451,394.456,5172.99
117.742,50,80,50,50,50,397.742,1.461,396.281,5188.83
121.26,50,80,50,50,50,401.26,1.479,399.781,5219.35
123.975,50,80,50,50,50,403.975,1.493,402.482,5243.02
127.195,50,80,50,50,50,407.195,1.511,405.684,5271.21
129.506,50,80,50,50,50,409.505,1.523,407.982,5291.54
131.355,50,80,50,50,50,411.354,1.533,409.821,5307.86
134.221,50,80,50,50,50,414.22,1.549,412.671,5333.25
136.778,50,80,50,50,50,416.777,1.564,415.213,5356
140.135,50,80,50,50,50,420.135,1.584,418.551,5386.01
141.817,50,80,50,50,50,421.817,1.594,420.223,5401.11
144.501,50,80,50,50,50,424.501,1.61,422.891,5425.27
147.305,50,80,50,50,50,427.305,1.627,425.678,5450.63
150.622,50,80,50,50,50,430.622,1.648,428.974,5480.76
152.219,50,80,50,50,50,432.219,1.658,430.561,5495.33
155.468,50,80,50,50,50,435.467,1.678,433.789,5525.06
157.804,50,80,50,50,50,437.804,1.694,436.11,5546.54
160.718,50,80,50,50,50,440.718,1.713,439.005,5573.44
162.95,50,80,50,50,50,442.951,1.728,441.223,5594.12
164.996,50,80,50,50,50,444.996,1.741,443.255,5613.14
168.32,50,80,50,50,50,448.32,1.764,446.556,5644.16
171.252,50,80,50,50,50,451.252,1.784,449.468,5671.66
173.746,50,80,50,50,50,453.747,1.802,451.945,5695.14
175.578,50,80,50,50,50,455.488,1.814,453.674,5712.44
177.81,50,80,50,50,50,457.81,1.83,455.98,5733.59
180.078,50,80,50,50,50,460.078,1.847,458.231,5755.14
182.89,50,80,50,50,50,462.89,1.867,461.023,5781.97
186.375,50,80,50,50,50,466.375,1.893,464.482,5815.38
190.253,50,80,50,50,50,470.253,1.922,468.331,5852.75
194.4,50,80,50,50,50,474.4,1.954,472.446,5892.94
197.31,50,80,50,50,50,477.311,1.977,475.334,5921.3
200.665,50,80,50,50,50,480.665,2.003,478.662,5954.12
204.587,50,80,50,50,50,484.587,2.035,482.552,5992.7
209.055,50,80,50,50,50,489.055,2.071,486.984,6036.91
210.807,50,80.221,50,50,50,491.028,2.087,488.941,6056.53
212.171,50,81.268,50,50,50,493.439,2.108,491.331,6080.53
213.439,50,82.241,50,50,50,495.681,2.127,493.554,6102.9
215.848,50,84.091,50,50,50,499.94,2.164,497.776,6145.49
217.828,50,85.61,50,50,50,503.438,2.194,501.244,6180.59
220.338,50,87.537,50,50,50,507.875,2.233,505.642,6225.24
222.649,50,89.311,50,50,50,511.961,2.27,509.691,6266.49
224.736,50,90.126,50,50,50,515.648,2.303,513.345,6303.84
227.083,50,92.714,50,50,50,519.797,2.341,517.456,6345.98
228.285,50,93.636,50,50,50,521.921,2.361,519.56,6367.61
229.806,50,94.803,50,50,50,524.609,2.386,522.223,6395.03
232.153,50,96.603,50,50,50,528.756,2.425,526.331,6437.45
234.25,50,98.213,50,50,50,532.463,2.46,530.003,6475.49
236.223,50,99.726,50,50,50,535.949,2.494,533.455,6511.35
238.311,50,101.33,50,50,50,539.641,2.531,537.11,6549.43
241.927,50,104.101,50,50,50,546.028,2.594,543.434,6615.58
244.476,50,106.057,50,50,50,550.533,2.639,547.894,6662.43
245.973,50,107.205,50,50,50,553.177,2.666,550.511,6690
247.6,50,108.453,50,50,50,556.051,2.695,553.356,6720.05
250.738,50,110.859,50,50,50,561.598,2.754,558.844,6778.17
252.036,50,111.854,50,50,50,563.889,2.777,561.112,6802.26
253.244,50,112.78,50,50,50,566.023,2.8,563.223,6824.73
255.409,50,114.44,50,50,50,569.849,2.841,567.008,6865.11
256.491,50,115.269,50,50,50,571.761,2.862,568.899,6885.33
